Product_ID,Product_Name,Category,Sub_Category,List_Price,Standard_Cost,Brand
P001,Skin Care Kit X,Beauty,Skin Care Kit,29557.63,20080.85,Minimalist
P002,Bed Frame 100,Furniture,Bed Frame,40555.88,29989.74,IKEA
P003,Mixer Grinder Plus,Home & Kitchen,Mixer Grinder,17568.94,9649.34,Butterfly
P004,Face Wash 100,Beauty,Face Wash,10595.51,7067.91,Himalaya
P005,Backpack Max,Fashion,Backpack,2604.3,1624.35,Skybags
P006,Smartwatch 100,Electronics,Smartwatch,15555.07,9570.1,Fitbit
P007,Coffee Maker Plus,Home & Kitchen,Coffee Maker,7902.19,4748.67,Philips
P008,Air Fryer X,Home & Kitchen,Air Fryer,4345.71,3499.8,Pigeon
P009,Sofa 100,Furniture,Sofa,8519.94,6542.67,Home Centre
P010,Bed Frame X,Furniture,Bed Frame,35328.35,23938.25,Urban Ladder
P011,Jeans Pro,Fashion,Jeans,21289.06,12989.15,Wrangler
P012,Face Wash Max,Beauty,Face Wash,64972.42,49510.37,Neutrogena
P013,Smartphone Max,Electronics,Smartphone,30846.77,23275.23,Xiaomi
P014,Skin Care Kit Pro,Beauty,Skin Care Kit,41443.25,28886.83,Lakme
P015,Sofa Plus,Furniture,Sofa,21997.72,16745.72,IKEA
P016,Jeans Classic,Fashion,Jeans,32457.25,24619.8,Levi's
P017,Monitor Pro,Electronics,Monitor,6178.94,3774.49,BenQ
P018,Face Wash Classic,Beauty,Face Wash,42918.75,30701.23,Neutrogena
P019,Cookware Set 100,Home & Kitchen,Cookware Set,23834.13,18884.25,Prestige
P020,Smartphone Max,Electronics,Smartphone,17724.39,10052.65,Samsung
P021,Sneakers Plus,Fashion,Sneakers,2361.11,1763.3,Skechers
P022,Bed Frame Plus,Furniture,Bed Frame,1381.02,920.97,Urban Ladder
P023,Sneakers 100,Fashion,Sneakers,42276.92,24327.39,Puma
P024,Hair Dryer Classic,Beauty,Hair Dryer,27298.54,18936.99,Remington
P025,T-Shirt X,Fashion,T-Shirt,9828.55,5785.28,U.S. Polo Assn.
P026,Air Fryer Classic,Home & Kitchen,Air Fryer,18317.23,14734.42,Morphy Richards
P027,Hair Dryer Max,Beauty,Hair Dryer,53425.26,33221,Havells
P028,Skin Care Kit Classic,Beauty,Skin Care Kit,56309.17,38332.87,The Body Shop
P029,Bed Frame Max,Furniture,Bed Frame,49705.05,32596.35,Urban Ladder
P030,Cookware Set Classic,Home & Kitchen,Cookware Set,25201,20870.58,Pigeon
P031,Sofa Classic,Furniture,Sofa,45986.9,37346.29,IKEA
P032,Sneakers Max,Fashion,Sneakers,8642.01,7497.18,Nike
P033,Sneakers 100,Fashion,Sneakers,34423.37,23562.59,Skechers
P034,Jeans Max,Fashion,Jeans,63062.18,34491.11,Lee
P035,Skin Care Kit 100,Beauty,Skin Care Kit,42414.11,35061.01,Lakme
P036,Backpack Classic,Fashion,Backpack,40928.17,34358.3,Safari
P037,Headphones Max,Electronics,Headphones,4912.21,3670.49,JBL
P038,Monitor 100,Electronics,Monitor,63602.76,50483.62,Dell
P039,Jacket Pro,Fashion,Jacket,45262.77,38257.57,Allen Solly
P040,Tablet Plus,Electronics,Tablet,23620.24,15944.78,Samsung
P041,T-Shirt Plus,Fashion,T-Shirt,44475.81,26010.36,U.S. Polo Assn.
P042,Skin Care Kit X,Beauty,Skin Care Kit,40470.94,24553.67,Mamaearth
P043,Coffee Maker 100,Home & Kitchen,Coffee Maker,41644.49,28545.02,Morphy Richards
P044,Backpack Classic,Fashion,Backpack,44205.58,25500.93,Wildcraft
P045,Hair Dryer Max,Beauty,Hair Dryer,41711.19,28061.25,Havells
P046,Study Table Pro,Furniture,Study Table,64959.59,53734.62,Urban Ladder
P047,T-Shirt 100,Fashion,T-Shirt,23652.22,14818.45,Levi's
P048,Smartwatch 100,Electronics,Smartwatch,26028.87,13610.89,Samsung
P049,Skin Care Kit Plus,Beauty,Skin Care Kit,54217.94,45817.23,Minimalist
P050,Study Table 100,Furniture,Study Table,41561.49,30901.83,IKEA
